stop_id,stop_code,Stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
9909,9909,J St & 11th St,,38.579708,-121.49152,,,,,,0
9910,9910,N St & 15th St,,38.57376,-121.487712,,,,,,0
9912,9912,16TH ST & N St,,38.57443,-121.486774,,,,,,0
9913,9913,I St & 15th St,,38.579767,-121.486635,,,,,,0
9914,9914,I St & 8th St,,38.582257,-121.495981,,,,,,0
9915,9915,7th St & Capital Av,,38.577696,-121.499125,,,,,,0
9916,9916,5th St & P St,,38.57571,-121.502828,,,,,,0
9927,9927,N St & 10th St,,38.575773,-121.495189,,,,,,0
9928,9928,N St & 14th St,,38.574373,-121.490043,,,,,,0
9930,9930,P St & 16th St,,38.571613,-121.488367,,,,,,0
9931,9931,P St & 11th St,,38.57331,-121.494728,,,,,,0
9932,9932,P St & 9th St,,38.57417,-121.497952,,,,,,0
7211,7211,Henry Long & Mccuen Fs Eb,,37.902074,-121.307675,,,,,,0
3535,3535,Wigwam Dr & Lance Dr Fs/Sb,,37.986188,-121.256556,,,,,,0
3820,3820,Qantas & Transworld Sb,QANTAS LN & TRANSWORLD DR,37.906368,-121.228702,,,,,,0
3847,3847,Kettleman & Ham Fs Wb,KETTLEMAN LN & HAM LN,38.115561,-121.288874,,,,,,0
7025,7025,Downtown Transit Center Dep B,,37.955044,-121.285053,,,,,,0
7017,7017,Downtown Transit Center Dep C,,37.954955,-121.285847,,,,,,0
7003,7003,Downtown Transit Center Dep D,,37.954928,-121.285386,,,,,,0
3630,3630,Tam O Shanter Dr & Hammer Ln Fs Sb,,38.020938,-121.300561,,,,,,0
3486,3486,Lower Sac & Royal Oaks Fs Sb,,38.036472,-121.322894,,,,,,0
7172,7172,Oak St & Aurora Fs Eb,,37.960514,-121.28057,,,,,,0
3484,3484,Davis Rd & Chaparral Wy Fs/Sb,,38.0402,-121.331992,,,,,,0
3394,3394,Mlk Blvd & El Dorado St Ns/Wb,,37.939,-121.28651,,,,,,0
3395,3395,Mlk Blvd & Van Buren St Fs/Wb,,37.937774,-121.292891,,,,,,0
7169,7169,Hammer Ln & Don  Av Fs Wb,,38.021465,-121.34602,,,,,,0
7184,7184,Otto & Thornton Rd Ns Eb,,38.039034,-121.343926,,,,,,0
7185,7185,Stanfield & Thornton Fs Wb,STANFIELD DR & THORNTON RD,38.037046,-121.34175,,,,,,0
7176,7176,Trinity Pkwy & Cosumnes Dr Fs Nb,,38.048972,-121.373589,,,,,,0
7165,7165,Hammer Triangle Arr Sb,,38.020673,-121.323474,,,,,,0
